ID,ninf,Tg,m,K,C,cost,opt,rmse,num_points,Na2O,SiO2,K2O,Li2O,Al2O3,B2O3,ZnO,BaO,MgO,P2O5,La2O3,CaO,PbO,Sb2O3,ZrO2,TiO2,CdO,Ta2O5,Y2O3,HfO2,Nb2O5,WO3,As2O3,Bi2O3,TeO2,Tl2O,Ga2O3,GeO2,SrO,FeO,MoO3,CuO,BeO,Rb2O,Cs2O,MnO,CoO,NiO,Fe2O3
510,-1.5889603950325346,792.6145029442705,37.8208836861271,1810.5539879118205,1413.3953795152424,0.0472538980049968,4.376722637089436e-09,0.08231961057879572,14,0.16,0.74,,,,0.01,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,-0.9850125706181327,801.6445602158924,42.613779005211946,1062.8344741062067,1829.1656869045821,0.10484130549475434,2.811174005107331e-07,0.1277803661433522,13,0.16,0.73,,,,0.02,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,-1.5669900785836954,798.8687977085052,37.53893901124888,1851.7832356313145,1411.5468435993066,0.004943743101553766,1.1318178665120637e-08,0.02758562753149603,13,0.15,0.74,0.01,,0.01,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,-1.1669282223940844,804.4908118614323,40.39421218231353,1339.5163394401814,1663.569467967725,0.011639113184868322,6.943844388374032e-09,0.04235033573115865,13,0.15,0.74,0.01,,0.01,0.01,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,-0.8266884665434568,808.8199798944886,43.48575084415498,950.3676681057722,1933.2863880279544,0.009509674493257236,1.1454452573944618e-08,0.0382660732782129,13,0.15,0.73,0.01,,0.01,0.02,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,-1.055460192146296,824.0577702184868,39.24127159586991,1447.6700970029488,1652.8426450792783,0.33399313136548336,4.774103803256713e-08,0.23639970209568942,13,0.13,0.73,0.01,,0.01,,,,0.03,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,-1.225920125911969,823.2882549115337,39.62300371773616,1479.7449791434865,1643.16801237058,0.09353885770912562,3.4713723967398635e-08,0.12107688166089088,13,0.12,0.73,0.01,,0.01,0.01,,,0.03,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,-1.983811836273445,816.628850728367,36.076392719310654,2352.4597985463347,1290.1660253565058,0.020083625854581566,9.293009445299205e-09,0.055624270451092334,13,0.12,0.73,0.01,,0.01,,,,0.03,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,-1.5976934830075438,821.4336235259574,38.357105640921546,1808.2186962571373,1495.7105534599484,0.010577334337059208,6.31044062837649e-09,0.04035992582774568,13,0.12,0.73,0.01,,0.01,0.01,,,0.03,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,-1.8215583861607756,812.4269192412678,35.712153992669016,2304.121402316209,1286.7224268110867,0.008655078993947019,3.5881721691111146e-09,0.03650274817282282,13,0.12,0.74,0.01,,0.01,,,,0.03,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,-1.5840937080654365,817.7572649640815,37.55083862850622,1902.9125333530524,1442.7889116073106,0.0037635547193246577,1.7212574577457618e-09,0.024066463042968417,13,0.12,0.73,0.01,,0.01,,,,0.03,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,-1.5521557588478527,823.3787230767279,39.56955282821375,1636.2531272672938,1580.7205553086055,0.009061786710194752,2.5645057938339377e-08,0.03735250285765461,13,0.12,0.72,,,,0.01,,,0.03,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,-1.341646777539959,752.2535297559905,39.7171245256435,1389.9675593961704,1487.1512164759863,0.006447305976786222,7.725902903543691e-10,0.03592226353174949,10,0.16,0.69,,0.04,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,-1.340648550505577,797.2827415715333,42.11248197237682,1230.6783246676916,1719.5030769144753,0.00748132008486091,6.558623713570633e-09,0.038704820623427276,10,0.2,0.69,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,-1.2242145528042436,786.2034054939766,41.409995360049884,1233.8425191778708,1675.6955030243537,0.007908496386246577,3.8060639084847026e-09,0.03978724091174021,10,0.16,0.69,0.04,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,-1.420164656988215,809.362226269526,41.0388286237774,1387.151390415603,1665.665357027524,0.005545196818565579,7.9802701530296e-09,0.03331065356542756,10,0.15,0.66,,,,,,,0.08,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,-1.4258409849723976,836.7668742022439,45.39772137089329,1038.3185162556485,1992.650623736704,0.003345858302712612,7.747983348654897e-09,0.025871847461784562,10,0.15,0.66,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,-1.5294880726774982,812.8533522848538,43.512884376385415,1199.0330803596887,1801.4062370603067,0.005710277409094244,4.3646711488098955e-09,0.03380534072508451,10,0.15,0.66,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,
528,-2.28058688597013,846.2391176779264,34.9265360146232,2846.8479529328597,1223.4377980235113,0.47229006051328315,8.279071307681907e-08,0.24201010497504494,17,,0.71,0.17,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,-1.6232963586835472,792.6329255658235,41.843506076772385,1360.59101115512,1641.912999614973,0.0039076413930343445,1.0967916696386082e-08,0.027963151050084026,10,0.15,0.66,,,,,,0.08,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,-1.6733026032290401,790.0650724121904,40.4966906069969,1519.0283016585445,1549.8978264792042,0.0007493831641856019,1.102718851994644e-09,0.013688478050382138,8,0.15,0.66,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,
531,-1.5859576500795698,796.5584286536623,41.06757784310226,1431.5903826970848,1611.2751682015362,0.006121481334807166,3.667580922989133e-09,0.039145460520803706,8,0.15,0.66,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,
532,-1.37929740619004,807.3187838380293,43.21055541346016,1161.850321459439,1800.0448157797464,0.0017717212215717648,7.960081612086445e-09,0.021048540510786706,8,0.15,0.66,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,
533,-1.5681585760047825,749.9717729024177,38.844510590949774,1579.4696872008374,1397.1350958912328,0.0013705256805187638,1.0118931404595743e-09,0.019790082247049725,7,0.15,0.66,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,
534,-1.4679018350732402,808.3289891801533,41.991286452568204,1309.4984634882846,1711.9428800567175,0.0063087383345983294,2.913659847246508e-09,0.03553083275094918,10,0.15,0.66,,,,,0.08,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,-1.5237572537878374,754.2877539971706,40.95742190298876,1341.6673376481385,1530.1130376590813,0.012583665393497423,6.811021746599977e-09,0.050197295834825205,10,0.15,0.66,,,,,,,,,,0.11,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,
536,-2.2172894953409914,750.6362952445792,28.69235767418536,3855.4718668087526,764.2463463053955,0.1391941951048148,2.842667592983794e-08,0.13703893043524162,15,,0.77,0.19,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,-1.099378819684636,838.8864898294764,45.19825599744116,947.8801342335107,2055.6176574305628,0.01773446984903404,1.5527199838383243e-09,0.0596176257100574,10,0.15,0.7,,,,,,,,,,0.11,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,
